CPD-1106	C03557
P3I	C00536
CPD-15744	C20720
CPD-11446	C15859
5-AMINOPENTANAMIDE	C00990
CPD-433	C02710
D-SORBITOL-6-P	C01096
CPD-18790	C21293
OXIDIZED-LUCIFERIN	C03717
7-O-METHYLVITEXIN-2-O-B-L-RHAMNOSIDE	C12629
CPD-13809	C06912
CPD-9087	C09094
CPD-15124	C04105
CPD-414	C04015
CPD-4207	C16427
CPD-3944	C10516
CPD-691	C06507
D-BETA-D-HEPTOSE-1-P	C07838
CPD-12082	C02135
2346-TETRAHYDROXYBENZOPHENONE	C06355
CPD-16466	C09066
APIGENIN-7-O-BETA-D-GLUCOSIDE	C04608
CPD-19319	C12013
CPD-9976	C20223
CPD-13951	C06616
4-DEOXY-BETA-D-GLUC-4-ENURONOSYL-6S	C04865
CPD-10781	C11842
HYDANTOIN	C05146
CPD-12888	C20174
CPD-9125	C06569
CPD-7618	C16461
CPD-659	C00826
KDO-8P	C04478
16-ALPHA-HYDROXYSTEROID	C01090
CPD-15049	C02162
CPD-1945	C04670
CPD-7608	C19732
CELLOBIOSE	C06422
CPD-8147	C05669
UBIQUINONE-8	C17569
CPD-8632	C16407
CPD-14000	C20221
CPD-13098	C19624
DICHLOROETHENE	C06792
CPD-8654	C08540
CPD-620	C02488
CPD-8773	C06758
CPD-16678	C12370
CPD-9675	C11150
CPD-12763	C12455
CPD-9164	C07479
CPD-8835	C20943
CPD-14130	C20326
NONAPRENYL-4-HYDROXYBENZOATE	C03885
CPD-640	C00975
CPD-90	C08628
CPD-14867	C02806
CPD-19463	C08521
DIHYDROXY-ACETONE-PHOSPHATE	C00111
CPD-9432	C19822
CPD-14133	C20483
ASPULVINONE-H	C02008
|R-2-Hydroxyacids|	C02489
CPD-8563	C03875
CPD-14209	C17703
CPD-9370	C19619
CPD-11420	C17018
UDP-L-ARABINOSE	C00935
CPD-286	C03588
1-L-MYO-INOSITOL-1-P	C04006
CPD-15003	C08727
CPD0-2171	C05260
CPD-16644	C12369
CPD-9663	C17691
FUCULOSE-1P	C01099
CYCLOHEXANOL	C00854
DERMATAN-L-IDURONATE	C01490
3-HYDROXY-CISCIS-MUCONATE	C03676
CPD-8235	C19740
ADENINE	C00147
N-BENZOYL-D-ARGININE	C03001
4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON	C04453
|3-Oxo-Delta-4-Steroids|	C00619
CPD-9442	C18024
CPD-406	C01210
CPD-368	C01114
CPD-313	C00986
CPD-9369	C17366
CPD-7877	C08392
CPD-612	C02132
CPD0-1359	C11256
ALPHA-HYDROXY-915-DIOXOPROSTANOATE	C04671
CPD-15351	C17579
CPD-9127	C14418
CPD-13866	C20182
CPD-7144	C12644
N-METHYLHEXANAMIDE	C02722
CPD-506	C01272
CPD-5943	C08491
CPD1F-137	C11864
3-CHLORO-D-ALANINE	C02634
CPD-4101	C11522
CPD-3521	C10521
ERYTHROSE-4P	C00279
5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	C05966
PENICILLIN-N	C06564
|Citronellates|	C16462
OCTAPRENYL-METHOXY-BENZOQUINONE	C05813
CPD-19838	C21803
CPD-13504	C06177
CPD-3422	C16192
CPD-5741	C07593
CPD-8138	C14137
PLASMENYLCHOLINE	C00958
CPD-16516	C20980
3-5-ADP	C00054
ACETOL	C05235
|N-Hydroxy-Arylamines|	C16685
CPD-5845	C11509
CPD-531	C02888
|Thyroglobulin-3-iodotyrosines|	C16732
23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ	C05849
CPD-17179	C20926
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	C11638
CPD-19501	C19317
CPD-20271	C21830
CPD-6646	C10415
CPD-16589	C21736
CPD-14459	C20379
CPD-12647	C16179
BENZYL-DESULFOGLUCOSINOLATE	C01069
CPD-15281	C17759
ACRYLYL-COA	C00894
CPD-1128	C04282
CPD-14910	C17788
CPD-12331	C20632
CPD-16905	C20853
CPD-10665	C14088
|LDL-receptor-O-phospho-L-serine|	C04565
CPD-12336	C19881
CPD-3921	C04277
CPD-10627	C14408
CPD-9776	C01416
CPD-16534	C09092
CPD-9445	C18051
CPD-15189	C02528
CPD-7669	C06804
VINDOLINE	C01626
CPD-4261	C09844
CPD-8736	C09900
CPD-12964	C11967
SACCHAROPINE	C00449
CPD-14401	C20431
CPD-13550	C19962
CPD-641	C01143
2-3-DIHYDRODIPICOLINATE	C03340
CPD-12321	C05421
CPD-10188	C14695
CPD-233	C01142
|Thyroglobulin-aminoacrylates|	C16734
CPD-19268	C18296
URIDINE	C00299
3-ENOLPYRUVYL-SHIKIMATE-5P	C01269
CPD-7953	C08613
CPD-19757	C19929
CPD-1833	C04416
CPD-6364	C15769
CPD-16550	C10433
CPD-15948	C12000
CPD-6981	C01850
ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT	C04901
CAPSORUBIN	C08585
METOH	C00132
CPD-19883	C21617
HYPOTAUROCYAMINE	C02419
HYDROXYBENZOQUINONE	C07103
PHENYLACETONITRILE	C16074
CPD-10705	C12269
5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O	C00696
CPD-6998	C14314
QUINOLIN-28-DIOL	C06342
13-HYDROXY-MAGNESIUM-PROTOPORP	C11829
QUERCITRIN	C01750
CPD-4	C05924
2-DH-3-DO-D-ARABINONATE	C03826
|N-palmitoylglycoproteins|	C03412
EIF5A-LYSINE	C07281
CPD-13135	C19837
CYCASIN	C01418
CPD-16925	C21009
N2-ACETYLGENTAMICIN-C1A	C03524
CPD-802	C03049
CPD-20109	C21687
CPD-194	C03360
CPD0-1629	C00765
CPD-12759	C19752
13-DIHYDROXY-N-METHYLACRIDONE	C12093
CPD-10031	C11400
CPD-19109	C21475
CPD-12279	C15809
CPD-15699	C11476
|Ceramides|	C00195
16-HYDROXYPALMITATE	C18218
DIETHYLPYROCARBONATE	C11592
CPD-18942	C14693
CPD-19100	C09728
CPD-17309	C15860
ALLANTOIN	C01551
ISOEUGENOL	C10469
CPD-15916	C02380
2-AMINOMALONATE-SEMIALDEHYDE	C11822
CPD-10603	C19397
SALICYLALDEHYDE	C06202
CPD-14646	C20484
|Aromatic-Acid|	C00539
CPD-13750	C07635
CPD-20080	C21676
CPD-7620	C14390
3-OXO-6-ACETAMIDOHEXANOATE	C03682
|alpha-N-Peptidyl-LGlutamate|	C03904
15-ANHYDRO-D-FRUCTOSE	C06485
12-DEHYDRORETICULINIUM	C06167
CPD0-2605	C12035
CPD-8001	C10850
CPD-982	C06725
CPD-7142	C12647
CPD-19	C16272
3-HYDROXY-N-METHYL-S-COCLAURINE	C05202
CPD-14332	C21214
CPD-303	C00571
QUINOLINE-4-CARBOXYLATE	C06414
ISOSCOPARIN	C05990
CPD-12541	C20328
CPD-13237	C06218
34-DIHYDROXYPHENYLACETALDEHYDE	C04043
CPD-15724	C20686
CPD-7283	C05465
4-SULFOBENZALDEHYDE	C06679
TRICHODIENE-CPD	C01860
CPD-7273	C15568
CPD-14690	C11988
CPD-14077	C21075
ADP-L-GLYCERO-D-MANNO-HEPTOSE	C06398
TAXUYUNNANIN-C	C15537
CPD0-1625	C00220
DEHYDRO-3-DEOXY-L-RHAMNONATE	C03979
HYDROXYACETONE-PHOSPHATE	C03505
CPD-20450	C21729
CPD-12755	C06701
CPD-335	C01089
CPD0-2360	C14396
CPD-15001	C08620
A-24-DIOXOTETRAHYDROPYRIMIDINE-D-RIBONU	C04639
|THR-tRNAs|	C01651
CPD-20464	C21783
CPD-587	C03703
CPD-13567	C01725
CPD-10703	C02048
CPD-7875	D05097
DIHYDROPTERIN-CH2OH-PP	C04807
CPD-261	C02452
DIHYDRO-DIOH-BENZOATE	C04171
CPD-15496	C12481
CPD-4821	C01822
INDOLEYL-CPD	C02938
CPD-13887	C20143
CPD-12776	C12491
CPD-4186	C01189
CPD-10054	C11407
CPD-12430	C20234
GAMMA-PENTACHLOROCYCLOHEXANE	C06596
CPD-19069	C21303
CPD-9978	C17622
2-ACYL-GPE	C05973
--6-HYDROXY-3-OXO-ALPHA-IONONE	C04223
CPD-7564	C21510
CPD-14201	C09649
CPD-18597	C09716
CPD-1137	C00531
|Nucleoside-Monophosphates|	C02171
CPD-10055	C19082
CPD-298	C02721
CPD-10784	C11837
CPD-12557	C05021
CPD-20800	C21838
CPD-4743	C09700
CPD-2222	C03964
CPD-12173	C06000
PHENYLACETATE	C07086
NARINGENIN-CMPD	C00509
5-OXOHEXANOATE	C02129
4-SULFOBENZYL-ALCOHOL	C06678
CPD-15743	C20714
CPD-17525	C15711
CPD-15363	C16530
CPD-1090	C02485
CPD-18329	C05150
HYDROXYLAMINE	C00192
CPD-10012	C18172
|Heparan-sulfate-D-GlcNS|	C17142
CPD-9521	C19831
CPD-17691	C18214
CPD-844	C19033
CPD-3618	C06255
SERYL-AMP	C05820
PAPS	C00053
CPD-13845	C19960
CPD-15154	C17935
CPD-701	C14394
CPD-1096	C03537
N-HYDROXYMETHYLUREA	C06384
CPD1F-90	C05903
2-AMINO-MUCONATE	C02220
|Charged-PRO-tRNAs|	C02702
|Sulfamates|	C01614
CPD-809	C06555
2-DEHYDROPANTOATE	C00966
CPD-16721	C10792
CYCLOHEXYL-ISOCYANIDE	C11520
FERULIC-ACID	C01494
CPD-9196	C08126
CPD-8247	C16776
PHOSPHATIDYLCHOLINE	C00157
CPD-513	C06362
CPD-14215	C17704
2-ACETAMIDOFLUORENE	C02778
CPD-14159	C18000
CPD-465	C03428
CPD-29	C03444
CPD-12373	C05579
ALLANTOATE	C00499
CPD-3424	C10216
CPD-20269	C21823
CPD-15533	C06801
CPD-15291	C09731
CPD-7139	C16312
CPD-9424	C10138
CPD-14483	C02283
CPD-9203	C16524
CPD-5203	C08797
CPD-10589	c05447
CPD-20751	C20920
CPD-9048	C16244
CPD-632	C11869
THYMINE	C00178
24DINH2-PENTANOATE	C03943
CPD-10649	C15220
CPD-9875	C20225
CPD-4202	C16428
CPD-199	C04335
CPD-13455	C10636
N-EE-PIPEROYL-PIPERIDINE	C03882
MALEAMATE	C01596
12-BIS4-HYDROXY-3-METHOXYPHENYLETHYLE	C04547
CPD-8676	C08542
CPD-12653	C16300
CPD1F-135	C08606
DELTA-TOCOPHEROL	C14151
CPD-285	C16597
6-HYDROXYHEXAN-6-OLIDE	C03241
CPD-19898	C21682
CPD-11587	C10314
STERIGMATOCYSTIN	C00961
CPD-20843	C00210
CPD-19259	C07225
ASPARAGUSATE	C01892
CPD-9835	C11379
CPD-11282	C07190
SUPER-OXIDE	C00704
PHOSPHORAMIDATE	C02306
CPD-10637	C12835
CPD-20576	C07576
CPD-14157	C01555
CPD-661	C00804
4-AMINO-BUTYRATE	C00334
CPD-20617	C08312
CPD-8671	C08543
CPD-13179	C03852
CPD-121	C01983
CPD-9413	C19678
CPD-12610	C21744
R-1-AMINOPROPAN-2-YL-PHOSPHATE	C04122
6-LACTOYL-5678-TETRAHYDROPTERIN	C04244
S-N-METHYLCANADINE	C02915
CPD-7662	C07943
CPD-12702	C00561
CAFFEOYLSHIKIMATE	C10434
R-MANDELAMIDE	C07301
CPD-456	C04641
CPD-19746	C21615
CPD-7615	C14091
|TYR-tRNAs|	C00787
CPD-4201	C16424
OXOMALONATE	C00830
CPD-789	C06066
KDO2-LIPID-A	C06026
CPD-226	C02331
ECDYSONE	C00477
CPD-7727	C15970
CPD-183	C01424
CPD-15923	C03372
|Heparan-sulfate-D-glucosaminides|	C04384
BUTEIN	C08578
CPD-12012	C19683
CPD-18207	C10306
CPD-12733	C08247
CPD-14254	C20421
CPD-13045	C09800
|Protein-tyrosine-phosphates|	C01167
CPD-9047	C16243
CPD3O-4151	C06044
CPD-13483	C12033
HYDRPHENYLAC-CPD	C03765
CPD-262	C03691
CPD-7845	D03884
CPD-7852	C15968
CPD-16641	C20974
CPD-19011	C11344
CPD-429	C02681
BETA-HYDROXYANDROST-5-EN-17-ONE-3-SULFAT	C04555
4-NITROANILINE	C02126
CPD-16956	C20536
2-HYDROXYMETHYL-3-ACETAMIDOMETHYLENE	C04690
CPD-3261	C01495
CPD-19297	C11612
CPD-13870	C20175
CPD-4402	C04271
ACETYL-GLUCOSAMINYL-ETCETERA-MANNOSYL-R	C04937
|S-2-Haloacids|	C02103
CPD-4864	C02420
CPD-3705	C00946
CPD-11881	C07303
CPD-15839	C14156
CPD-825	C02647
A-PHTHALYLAMIDE	C06374
SELENOMETHIONINE	C05335
|Flavonol-3-O-B-D-Glucosides|	C03946
3-HYDROXY-ISOVALERYL-COA	C05998
GMP	C00144
CPD-9409	C06027
CPD-8663	C19867
P-HYDROXY-PHENYLPYRUVATE	C01179
DGMP	C00362
CPD-17527	C17692
CPD-8610	C15915
CPD-502	C02960
CPD-7706	C02122
CPD-1541	C01818
CPD-15051	C08716
L-DOPACHROME	C01693
5-BETA-SCYMNOL-SULFATE	C16261
ALPHA-D-GLUCOSYL-ETCETERA-ACYLGLYCEROL	C04909
MANNOSYL-ETCETERA-D-MANNOSE	C04861
CPD-16	c02183
|2R-hydroxy-carboxylates|	C15487
CPD-13967	C11916
3-ADP-2-PHOSPHOGLYCERATE	C03673
CPD-9525	C09680
|Halide-Anions|	C00462
S-TETRAHYDROCOLUMBAMINE	C04118
CPD-9037	C06453
CPD-287	C05469
CPD-7070	C15503
DIHYDRO-THYMINE	C00906
CPD-319	C20582
CPD-321	C03071
CPD-13576	C20247
GAMMA-HCH	C06595
CPD-11441	C19756
|tRNAs-Asp-with-queuosine|	C02905
CPD66-21	C05951
CPD-280	C03273
LEU	C00123
|Aryl-Sulfate|	C00850
HYDROXYPROPANAL	C00969
CPD-20680	C19921
CPD-19270	C06654
CPDQT-299	C17271
CPD-9411	C19676
CPD-12696	C19789
GLYCYRRHIZINATE	C02284
TMP	C00364
L-XYLONATE	C05411
CPD-14092	C20361
S2O3	C00320
CPD-11764	C06181
CPD-8886	C13884
ADP-D-GLYCERO-D-MANNO-HEPTOSE	C06397
CPD-13524	C00473
NI+2	C19609
CPD-13150	C19798
CPD-8999	C15650
CPD-122	C01984
CPD-8714	C18219
CPD-1908	C01411
CPD-4902	C20241
CPD-13623	C20402
CPD-15995	C11997
CPD0-1455	C02886
CPD-10057	C11937
SPHINGOSINE	C00319
CPD-3746	C11145
CPD-7422	C14146
SS-DIMETHYL-BETA-PROPIOTHETIN	C04022
CPD-14176	C18003
N-ACETYL-L-LYSINE	C12989
|Histone-N-o-methyl-arginines|	C05320
ISOQUINOLINE	C06323
CPD-182	C03081
CPD-56	C00779
CPD-1825	C03906
DELTA1-PYRROLINE_2-CARBOXYLATE	C03564
20-HYDROXY-LEUKOTRIENE-E4	C03577
3OH-4P-OH-ALPHA-KETOBUTYRATE	C06054
INDOLE_LACTATE	C02043
CPD-479	C01180
CPD-18766	C21146
CPD-4753	C11877
CPD-50	C02623
CHLOROPHYLLIDE-A	C02139
5-BETA-CHOLESTANE-3-ALPHA7-ALPHA12-ALP	C05454
CPD-13042	C01864
CPD-694	C06505
CPD-17023	C21148
CPD-19419	C21634
CPD-7664	C07949
CPD0-2070	C06878
|Long-Chain-Esters|	C02434
CPD-15259	C20045
CPD-20108	C08493
N-SUCCINYL-2-AMINO-6-KETOPIMELATE	C04462
ALBENDAZOLE-S-OXIDE	C02809
N-ACETYLPHENYLETHYLAMINE	C06746
CPD-2041	C02486
CPD-17194	C20586
CPD-1007	C06581
DCMP	C00239
CPD-10613	C16472
2-MERCAPTOETHANOL	C00928
CPD-17026	C21574
CPD-11426	C06088
ISOVITEXIN-2-O-B-D-GLUCOSIDE	C04199
UDP-N-ACETYLMURAMATE	C01050
PANTOYL-LACTONE	C01012
CPD-7406	C14150
PHYTOALEXIN-CMPD	C09305
CPD-13997	C20237
CPD0-2121	C05271
CPD-14501	C20212
CPD-10386	C15750
13-HYDROXYLUPININE	C02621
CPD-14171	C14138
CPD0-1147	C19459
SULOCHRIN	C00495
6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	C01263
R-VICIANIN	C01870
PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE	C05981
CPD-14177	C00832
CPD-8222	C07276
CPD-19388	C21731
CPD-9407	C18324
CPD0-1421	D02050
CPD-17509	C20941
CPD-20124	C00009
SE-2	C01528
5-OXOPROLINE	C01879
CPD-7271	C07756
12-OXO-CIS-9-DODECENOATE	C16311
CPD-1125	C08325
MYO-INOSITOL	C00137
CPD-19277	C07654
CPD-9992	C12037
910-EPOXY-18-HYDROXYSTEARATE	C19620
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-34-DIHYD	C04883
CPD-11377	C19736
CPD-2002	C06769
GLUCOSAMINYL-ETCETERA-MANNOSYL-R	C04940
CPD-10465	C04505
|D-Galactosyl-12-diacyl-glycerols|	C03692
CPD-12447	C01604
UROCANATE	C00785
CPD-15986	C08356
CPD-257	C02236
CPD-153	C20581
CPD-4981	C18025
THIOGLYCOLATE	C02086
DIHYDROFOLATE	C00415
CPD-8767	C06076
CPD-11590	C10305
CPD-13682	C12580
CPD-9437	C16159
S-COCLAURINE	C06161
CHLORAMPHENICOL-3-ACETATE	C03601
ADENOSINE_DIPHOSPHATE_RIBOSE	C01882
CPD-10751	C19961
SHIKIMATE-5P	C03175
Z-11-TETRADECENOYL-COA	C06737
4-HYDROXY-L-PROLINE	C01157
CPD-14143	C01759
CPD-8913	C21601
CPD-14603	C07908
CPD-8347	C04100
CPD-16722	C05585
CPD-190	C04500
CPD-15265	C20563
CPD-9107	C14402
CPD-372	C01068
DOPAQUINONE	C00822
CPD-4204	C16429
CPD-13717	C05699
CPD-15009	C13051
N-ACETYL-D-GLUCOSAMINE-1-P	C04501
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	C04666
VESTITONE	C00786
O-D-MANNOSYL-PROTEIN	C02863
CPDN-385	C06203
CPD-14180	C20323
CPDQT-33	C17222
CPD-10228	C12106
CPD-17635	C20238
FORMAMIDE	C00488
CPD-343	C04349
CPD-10013	C06457
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	C04896
CPD-14650	C20694
UROPORPHYRIN_I	C05767
DEPHOSPHO-COA	C00882
CPD-15801	C21630
METHYLAMINE	C00218
3-4DH3-4DHFLUORENE	C07721
CPD-943	C21149
CPD-14485	C20511
LEUPEPTIN	C01591
2-KETO-ISOVALERATE	C00141
R-N-METHYLCOCLAURINE	C05243
AGARITINE	C01550
CPD-13481	C12054
CPD-14779	C02669
CPD-17978	C05791
CPD-15417	C05080
CPD-10786	C16640
34-DEHYDRO-14-THIOMORPHOLINE-3-CARBOXY	C04445
IMP	C00130
CPD-8843	C19746
CPD-3724	C01368
26-DIOXO-6-PHENYLHEXANOATE	C03750
OXIDIZED-LATIA-LUCIFERIN	C03527
CPD-15721	C12423
CPD-10039	C11398
ADENOSYLCOBINAMIDE-P	C06509
3-METHYLBENZYL-ALCOHOL	C07216
CPD-8245	C09635
GUANOSINE_DIPHOSPHATE_FUCOSE	C00325
CPD-14460	C20457
|3-Dehydropyranosides|	C15595
L-GLUTAMATE-5-P	C03287
CPD-14697	C21369
ADENOSINE5TRIPHOSPHO5ADENOSINE	C06197
CPD-8766	C14437
CPD-20083	C21681
CPD-9134	C18315
CPD0-1237	C20961
CPD-15754	C12355
DIHYDROBIOCHANIN-A	C02675
1F2INDANONE	C07726
|N-acetyl-D-glucosamine|	C00140
O-SINAPOYLGLUCAROLACTONE	C03526
CPD-13030	C19715
CPD-15723	C18608
CARDIOLIPIN	C05980
DIHYDROSIROHYDROCHLORIN	C02463
NOCARDICIN-A	C01941
TETRANITROMETHANE	C19300
CPD-19136	C03394
1-O-GALLOYL-BETA-D-GLUCOSE	C01158
DEACETYLIPECOSIDE	C07307
CPD-30	C05936
CPD-9042	C16242
D-MYO-INOSITOL-4-PHOSPHATE	C03546
CPD-16681	C20208
TRP	C00078
ACETYLCHOLINE	C01996
CPD-8670	C08565
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	C04691
CO-A	C00010
CIS-CIS-MUCONATE	C02480
CPD-18523	C21422
ALTROSE	C06464
|Heparan-sulfate-L-iduronate|	C04073
CPD-13105	C19727
CPD-788	C04718
CPD-12831	C03313
CPD-12379	C17937
CPD-17520	C21163
CIS-4-HYDROXY-D-PROLINE	C03440
CPD-7592	C21512
CPD-7708	C16299
S-2-HYDROXYSTEARATE	C03045
CPD-17687	C18489
CPD-607	C03483
CPD-400	C01502
HCL	C01327
CPD-18421	C09747
CPD-13655	C07594
CPD-606	C00513
ISOWILLARDIINE	C08289
CPD-721	C05616
CPD-15315	C20634
CPD-10896	C07100
L-1-PHOSPHATIDYL-ETHANOLAMINE	C00350
PARAOXON	C06606
4-HYDROXYBENZALDEHYDE	C00633
CPD-20443	C21718
CPD-901	C11151
CPD-4541	C07108
CPD-787	C05600
CPD-18996	C14704
O-PHOSPHO-L-HOMOSERINE	C01102
CPD-11652	C21089
CPD-15319	C06034
CPD-8896	C05425
5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY	C00639
CPD-9951	C02343
CPD-6401	C19689
CPD1F-136	C11875
CPD-1944	C04687
CPD-663	C04089
NITRIC-OXIDE	C00533
HSCN	C01755
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	C01165
UROPORPHYRIN_III	C02469
CPD-8216	C10315
CPD-4703	C12142
CPD-9995	C18174
4-HYDROXY-BUTYRYL-COA	C11062
CPD-665	C00479
CPD-15230	C00494
CPD-9232	C06885
DIACETYLCHITOBIOSE-6-PHOSPHATE	C21152
CPD-10427	C06335
CPD-3743	C05122
CPD-3741	C14415
CPD-19104	C21410
CPD-12539	C08349
CPD-15707	C08835
UDP-MANNACA	C04427
56-DIHYDROXYINDOLE-2-CARBOXYLATE	C04185
CPD-18106	C14407
CPD-18886	C21441
CPD-9650	C05847
N6N6N6-TRIMETHYL-L-LYSINE	C03793
PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA	C04637
CPD-255	C01769
CPD-1110	C04187
CPD0-1122	C19909
LOMBRICINE	C01726
GIBBERELLIN-2-O-BETA-D-GLUCOSIDE	C04070
CPD-19108	C21413
1-CHLORO-24-DINITROBENZENE	C14397
CPD-7880	C02278
CPD0-1467	C12110
CPD0-1313	C11336
CPD-19059	C21401
CPD-8229	C08364
CPDQT-340	C17217
3-BETA-HYDROXY-5-ALPHA-PREGNANE-20-ONE	C13712
ORCINOL-CPD	C00727
CPD-1244	C05737
3-SULFINYL-PYRUVATE	C05527
CPD-9799	C09210
|Thiols|	C00145
CPD-219	C00739
O-ALKYLGLYCERONE	C02446
CPDQT-256	C17229
CPD-13473	C04794
CPD-10151	C02627
CPD1F-98	C05430
CPD-7166	C20406
CPD-3617	C01571
CPD-3301	C02980
CPD-15541	C18634
CPD-15222	C21078
CPD-107	C01297
CPD-10808	C15563
CPD-10271	C20310
CPD-9240	C19829
CU+	C00070
CPD-20207	C21772
CPD-7027	C14536
POLYVINYL-ALCOHOL	C00980
CPD-2301	C03458
CPD-15225	C20565
CPD-11463	C15892
S-NORCOCLAURINE	C06160
CPD-7074	C09806
|Ubiquinols|	C00390
CPD-616	C03338
CPD-10549	C15643
2-DEHYDRO-3-DEOXY-D-GLUCONATE	C00204
CPD-272	C03747
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	C04352
2-OXYPHYTANATE	C02117
3-METHYL-1-246-TRIHYDROXYPHENYLBUTAN	C07350
CPD-8624	C03798
CPD-13270	C20479
DEACETYLISOIPECOSIDE	C07304
CPD0-1496	C11906
CPD-15124	C14610
CPD-14998	C08647
CPD-16755	C11153
CPD-386	C04584
CPD-3708	C06193
PREGNAN-21-AL	C00891
CPD-14535	C13377
L-1-GLYCERO-PHOSPHORYLCHOLINE	C00670
TYR	C00082
|Protein-L-glutamine|	C02583
PROTEIN-N-UBIQUITYL-LYSINE	C03635
CPD-11656	C05804
CPD-536	C02979
CPD-15732	C12428
CPD-672	C05231
CPD-10812	C20567
3-OCTAPRENYL-4-HYDROXYBENZOATE	C05809
CPD0-1308	C01705
OXIDIZED-CYPRIDINA-LUCIFERIN	C03887
|3-Acyl-pyruvates|	C02119
ISOBUTYRATE	C02632
ACETYLENE	C01548
CPD-7261	C16258
ISOBUTYRATE	c02632
5-HYDROXYPENTANOYL-COA	C03237
CPD-791	C03092
CPD-1821	C06366
CPD-7038	C19181
METHYLARSONITE	C07295
4-FLUOROBENZOATE	C02371
CPD-17511	C21085
CPD-14334	C18196
CPD-13148	C19721
CPD-524	C01405
CPD-19833	C21647
CPD-20031	C10503
11-DEOXY-CORTISOL	C05488
CPD-426	C02055
BENZYLSUCCINYL-COA	C09817
|Protein-L-Aspartates|	C02871
ALPHA-METHYL-5-ALPHA-ERGOSTA	C11508
PHYTOL	C01389
CPD-9414	C20746
CPD-11558	C08994
CPDQT-34	C17226
CPD-10225	C12213
CPD1F-95	C11857
CPD-13785	C19973
2-HYDROXYCYCLOHEXAN-1-ONE	C01147
DELTA1-PIPERIDEINE-2-CARBOXYLATE	C04092
CPD-18789	C21219
CPD-20	C16273
CPD-19439	C12162
MALONATE	C00383
ARG	C00062
CPD-460	C04290
CPD-10296	C18064
CPD-9647	C17558
CPD-15263	C20512
CPD-10866	C14219
CPD-675	C06320
5-METHYLTHIOINOSINE	C19787
CPD-10243	C12247
CPD-19438	C08532
CPD-14751	D00199
METHYLENETETRAHYDROMETHANOPTERIN	C04377
